Rank	Ligand	SMILES	VinaAffinity	CNNscore	CNNaffinity
159	Z2710072632	CC(=O)N1CCC=2C(=CC=CC21)NC(=O)N[C@H]3[C@H](C=4C=CC=CC4)C3(C)C |&1:16,17,r|	-10.621	0.49912	6.7372
160	Z243265732	O=C(NC(C=1C=CC=CC1)C=2C=CC(Cl)=CC2)C3CCCN(C3)C(=O)C4=CC=CO4	-10.61993	0.59106	7.43581
161	Z96028460	O=C(NC=1C=CC=CC1)C2CCN(CC2)C(=O)C3=CC=4C=CC=CC4C=C3O	-10.61698	0.486	6.6475
162	Z146330210	CC=1C=CC(=CC1S(=O)(=O)NCC=2C=CC=CC2)C(=O)NC3=CN=C4C(C=NN4C(C)C)=C3	-10.61552	0.69396	7.47957
163	Z1132318285	O=C(NC=1C=CC(=CC1)N2CCOC2=O)NC(C=3C=CC(Cl)=CC3)C4CCC4	-10.61457	0.65042	6.73915
164	Z71047967	O=C(CCCC1=NC=2C=CC=CC2C(=O)N1)N3CCN(CC3)C(=O)C4=CC=CS4	-10.61279	0.65746	6.88915
165	Z29671694	CC1=NN=C(NC(=O)C=2N=C(C=3C=CC=CC3)N(N2)C=4C=CC=CC4)S1	-10.60895	0.50416	6.95037
166	Z1180426024	O=C(NCC=1C=CN=C(C1)N2CCCCC2)NC=3C=CC=CC3C=4C=CN=CC4	-10.60706	0.44552	6.74483
167	Z106794892	N#CC=1C=CC=C(C1)NC(=O)CN2CC(OC=3C=CC=CC32)C(=O)N4CCCCC4	-10.60133	0.44149	7.08993
168	Z1647751366	O=C(C=1C=CN=C(C1)C2CC2)N3CC(CC=4C=CC=CC43)N5C=CC=N5	-10.5964	0.59254	7.3683
169	Z29458849	CCN1C(=O)C(=O)NC=2C=C(C=CC21)C(=O)NC3=NC(=CS3)C4=CC=CN=C4	-10.59293	0.84514	7.23848
170	Z2292694384	O=C(NC=1C=CC=C(C1)C2=CN(CC=3C=CC=CC3)N=N2)N4CC5(C4)CCOC5	-10.58872	0.66182	7.16024
171	Z324557120	COC=1C=CC(=CC1)C=2N=C(NC(=O)C(C)NS(=O)(=O)C3=CC=CC=C3F)SC2C	-10.57909	0.5005	6.95427
