SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CN(CC=1N=CC=C(N)N1)C2CCN(C2)C(=O)C3CC3C4=CC=CC(F)=C4F,Z1761012800,387.427,387.427,1.25,-3.382,1,5,75.35,6,https://real.enamine.net/public-enum-files/Z1761012800
CC=1C=CC(=CN1)CC(=O)N(C)C[C@@H]2CCN(C)[C@H]2C3=CC=CN=C3,Z1757401755,338.448,338.448,0.147,-0.804,0,4,49.33,5,https://real.enamine.net/public-enum-files/Z1757401755
COC=1N=CC=CC1N(C)C(=O)C2=CSC(=N2)C3=CC=C(C)C=C3C,Z1239570814,353.44,353.44,3.223,-5.527,0,4,55.32,5,https://real.enamine.net/public-enum-files/Z1239570814
CC1CC(C=2C=CC=NC2)N(C1)C=3C=C(N=CN3)N4CCSCC4,Z1874252203,341.476,341.476,2.318,-4.185,0,5,45.15,3,https://real.enamine.net/public-enum-files/Z1874252203
CN1C(=O)C2=C(N=CN2CC(=O)NCCC=3C=CC=C(F)C3)N(C)C1=O,Z96044428,359.356,359.356,1.115,-2.793,1,4,87.54,6,https://real.enamine.net/public-enum-files/Z96044428
CC(=O)N1CCC=2C=C(C=CC21)NC(=O)C3=CC(=C(C)S3)C=4C=CC(F)=CC4,Z1389176339,394.464,394.464,3.953,-7.085,1,2,49.41,3,https://real.enamine.net/public-enum-files/Z1389176339
COC=1C=CC(=CC1)C2=NC=C(S2)C(=O)NC=3C=CC(F)=CC3Cl,Z1273118658,362.807,362.807,3.949,-6.05,1,3,51.22,5,https://real.enamine.net/public-enum-files/Z1273118658
NC(=O)C1=NOC(=N1)C2CCCN2CC3=NN=C(CC=4C=CC=CC4)O3,Z1759891172,354.364,354.364,-0.382,-1.17,1,6,124.17,6,https://real.enamine.net/public-enum-files/Z1759891172
COC(=O)C=1C=CC=CC1NC(=O)C=2C=CN(N2)C=3C=C(C)C=CC3OC,Z856004534,365.383,365.383,3.803,-4.613,1,4,82.45,6,https://real.enamine.net/public-enum-files/Z856004534
O=C(C=1C=C(ON1)C=2C=CC=NC2)N(C=3C=CC=CC3F)C4CCCC4,Z1318780251,351.375,351.375,2.987,-4.843,0,3,59.23,4,https://real.enamine.net/public-enum-files/Z1318780251
COC1(C)CC(NC(=O)C=2C=CC(O)=C(C2)[N+]([O-])=O)C1(C)C,Z1634650974,308.33,308.33,3.372,-3.344,2,5,101.7,5,https://real.enamine.net/public-enum-files/Z1634650974
CCC1=NN(CC2=NC(=NO2)C3=CC=CS3)C(=O)C(C#N)=C1CC,Z1172448182,341.389,341.389,1.921,-3.733,0,5,95.38,5,https://real.enamine.net/public-enum-files/Z1172448182
CC=1C=C(N=CC1[N+]([O-])=O)N2CCN(CC(C)O)CC2C,Z1753051754,294.35,294.35,1.808,-2.048,1,6,82.74,4,https://real.enamine.net/public-enum-files/Z1753051754
O=C(NC1=CC=C2N=C(OC2=C1)C3CC3)N4CCCCO4,Z1913028542,287.314,287.314,2.646,-2.876,1,3,67.6,4,https://real.enamine.net/public-enum-files/Z1913028542
O=C(C1=COC=N1)N2CCCCC2C3=NN=C(O3)C4=CC=CC=C4F,Z1849297120,342.325,342.325,0.776,-4.12,0,4,85.26,4,https://real.enamine.net/public-enum-files/Z1849297120
CC1=NN(CC(C)C)C(C)=C1S(=O)(=O)NCC2CCN3C=CN=C3C2,Z1754520510,365.496,365.496,1.75,-1.05,1,4,81.81,6,https://real.enamine.net/public-enum-files/Z1754520510
COC(=O)C=1C=CC(NC(=O)N2CCCC(C2)C3=NC(C)=NO3)=C(C1)N(C)C,Z1846126636,387.434,387.434,1.577,-2.752,1,5,100.8,5,https://real.enamine.net/public-enum-files/Z1846126636
CC=1C=C(C=CC1NC(=O)NC=2C=NN(C2)CC(C)C)N3C=CC=N3,Z1830623626,338.408,338.408,3.107,-3.04,2,3,76.77,7,https://real.enamine.net/public-enum-files/Z1830623626
CCN1C=CN=C1[C@H]2OCC[C@@H]2NC(=O)NCC3=CNN=C3C,Z1756602375,318.375,318.375,-0.469,-0.838,3,4,96.86,5,https://real.enamine.net/public-enum-files/Z1756602375
